,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 4 SGPA,SEM 5 SGPA,SEM 6 SGPA,SEM 7 SGPA,SEM 8 SGPA,Label,Hour_per_week_wriassignment,time_to_reach college,Average attendence,Internet at home,2 hr straight lecture,submission on time,"Five lecture straight,woulf you attend all?","Five hr practical staight,do you attend all",Feedback of teacher,preffered transportatin to college,Enrolled to coaching class
5,2,6.1,1,5.9,5.4,5.2,6.1,6.2,1,1,2,1,1,1,1,1,1,6,2,1
123,2,6.1,2,6.2,6.9,6.0,8.5,5.6,1,0,2,2,1,0,1,0,1,10,2,0
154,0,6.08,0,5.41,6.88,6.0,6.2,6.15,1,1,0,1,1,0,1,1,0,10,2,0
132,0,6.2,0,7.3,5.5,7.6,7.4,6.7,1,0,0,3,1,1,1,1,1,22,2,1
98,0,8.96,0,7.6,6.2,8.6,5.6,9.0,1,2,2,3,1,1,1,1,0,11,1,0
47,0,8.12,0,9.18,9.17,9.17,9.3,9.0,1,0,0,1,1,0,1,1,1,10,2,0
115,0,9.24,0,9.0,5.9,7.5,8.2,6.2,1,1,2,1,0,0,0,0,1,22,2,0
95,0,8.56,0,7.0,9.2,7.71,9.38,6.4,1,2,0,3,1,0,0,1,1,22,0,0
178,1,4.21,1,4.19,4.65,4.6,4.59,3.78,2,2,0,4,1,0,1,0,0,8,1,0
69,0,8.41,0,9.5,8.9,8.4,8.9,8.8,1,0,2,3,1,1,1,1,1,11,2,0
213,2,3.5,1,4.2,4.99,3.6,4.99,4.8,2,2,0,4,1,0,1,0,0,16,2,0
48,0,6.5,0,6.07,6.88,7.75,7.2,7.6,1,0,2,1,1,1,1,1,0,11,1,0
125,1,6.6,2,6.1,7.71,6.7,6.2,6.0,1,1,0,0,1,0,1,0,1,20,2,0
202,1,3.4,2,4.1,3.63,3.3,3.7,4.89,2,2,2,4,1,0,0,0,0,4,2,0
185,2,3.8,1,3.8,4.63,4.28,3.54,4.58,2,2,0,4,1,0,1,0,0,18,2,0
106,0,6.8,0,8.0,7.6,7.6,6.15,6.8,1,0,0,1,1,0,1,1,0,12,1,0
194,1,3.5,3,4.1,3.56,3.4,4.89,4.19,2,2,0,4,1,0,1,0,0,1,2,0
124,0,6.3,0,8.1,8.6,6.8,7.2,5.2,1,1,2,2,1,0,1,0,1,12,2,0
255,3,4.5,3,4.2,4.28,4.22,3.8,4.2,2,2,2,1,1,0,1,0,0,5,2,0
156,0,5.69,0,5.9,5.96,6.0,6.1,6.3,1,0,2,0,1,1,1,1,0,20,2,0
127,0,5.73,2,6.2,8.9,7.6,7.1,5.9,1,0,0,2,1,1,1,1,1,11,2,0
101,1,8.35,0,7.2,8.6,8.2,9.4,7.5,1,2,2,2,1,0,1,1,1,6,1,0
151,0,7.31,0,8.04,7.73,7.6,7.2,7.1,1,0,0,1,1,1,1,1,0,26,2,0
66,0,9.24,0,9.8,9.9,9.6,9.8,10.0,1,0,2,3,1,1,1,1,1,22,0,0
152,0,6.15,0,6.0,7.5,7.2,7.1,7.6,1,1,2,1,1,1,1,1,0,20,2,0
225,2,3.6,1,3.7,3.45,4.25,3.45,4.01,2,2,0,4,1,0,1,0,0,24,2,0
107,0,7.02,0,8.1,6.2,7.7,8.3,6.5,1,1,2,2,1,0,1,1,1,20,1,0
34,0,6.0,0,6.2,6.1,5.9,6.0,6.2,1,0,2,4,1,0,1,1,1,10,1,0
205,1,3.9,1,3.6,4.01,4.2,3.6,4.11,2,2,2,4,1,0,1,0,0,25,2,0
97,0,8.16,0,7.6,7.5,8.9,7.2,5.6,1,0,2,1,1,1,1,0,0,20,0,0
54,0,7.26,0,8.0,7.9,8.2,8.4,7.5,1,0,2,1,1,0,1,0,1,26,2,0
256,1,4.2,1,4.6,4.28,4.28,4.7,4.6,2,2,0,4,1,0,0,0,0,2,2,0
130,0,5.73,0,5.6,6.15,6.8,6.8,6.0,1,0,2,0,1,1,0,0,0,6,1,1
204,2,4.1,1,4.2,3.02,3.7,4.1,4.2,2,2,1,1,1,0,1,0,0,2,2,0
157,0,6.5,0,6.2,6.9,6.4,7.1,7.2,1,0,0,1,1,0,0,0,0,11,2,0
168,2,4.54,3,4.32,4.78,4.88,3.78,4.63,2,2,1,1,1,0,0,0,0,5,2,1
187,1,3.7,1,3.4,3.87,4.19,4.78,4.25,2,2,0,4,1,0,0,0,0,15,0,0
238,1,4.6,1,4.9,4.9,4.63,4.8,3.22,2,2,0,4,1,0,1,0,0,3,2,0
228,2,3.9,2,3.6,4.69,3.41,4.69,4.6,2,2,1,4,1,0,1,0,0,2,0,0
231,1,3.4,1,4.6,4.6,4.25,4.6,3.62,2,2,2,4,1,0,0,0,0,2,2,0
4,0,6.81,0,6.5,6.7,6.2,5.8,5.9,1,3,0,1,1,0,1,1,1,12,2,0
23,0,7.82,0,7.1,7.0,6.9,6.8,7.2,1,0,2,1,0,0,1,1,1,10,2,0
63,0,8.5,0,8.4,8.3,8.2,8.5,8.3,1,2,2,1,1,1,1,1,1,20,1,0
100,1,8.35,0,8.1,8.13,6.15,7.1,8.0,1,2,2,2,1,0,1,1,1,10,1,0
183,1,4.98,2,4.28,3.99,4.87,4.93,4.89,2,2,0,4,1,0,1,0,0,24,2,0
210,2,3.8,2,4.5,4.89,4.3,4.89,3.9,2,2,2,4,1,0,1,0,0,3,1,0
94,0,10.0,0,9.0,5.9,8.6,5.8,6.07,1,2,2,2,1,1,1,0,1,9,1,0
42,0,6.6,0,6.3,6.5,6.6,6.7,6.9,1,0,3,3,1,1,1,1,1,10,2,0
234,2,4.6,1,3.4,3.7,4.63,3.5,4.96,2,2,2,4,1,0,1,0,0,16,2,0
253,2,3.5,2,3.5,4.27,4.88,3.8,3.8,2,2,0,4,1,0,0,0,0,4,1,0
211,1,4.1,2,3.4,4.74,3.6,4.74,4.02,2,2,0,4,1,0,1,0,0,2,2,0
102,0,8.12,0,7.3,9.5,8.33,9.0,8.1,1,1,2,1,1,1,0,0,1,9,1,1
105,0,6.3,0,7.6,9.2,6.1,6.1,6.8,1,0,2,2,1,0,1,1,0,26,0,0
82,0,9.34,0,7.84,8.2,8.3,8.8,8.4,1,0,2,1,1,1,1,1,1,21,1,0
25,1,5.7,1,5.8,5.9,6.1,6.7,6.4,1,0,2,4,0,1,0,1,0,6,0,0
149,0,6.69,0,7.67,7.35,7.5,7.6,7.5,1,0,0,1,1,0,1,1,1,20,2,0
9,0,7.1,0,7.3,7.4,7.9,7.4,6.9,1,0,0,4,1,0,0,0,0,21,0,0
216,2,4.6,2,3.4,3.11,4.1,3.11,3.9,2,2,0,4,1,0,1,0,0,17,2,0
150,0,5.97,0,6.43,6.27,6.7,6.5,6.3,1,1,2,0,1,1,0,1,1,23,2,0
43,0,5.9,1,6.0,6.2,6.4,6.7,6.5,1,2,0,1,1,0,1,0,0,6,2,0
261,2,3.2,2,4.9,4.78,3.75,3.5,3.5,2,2,2,4,1,0,1,0,0,7,2,0
109,0,7.0,0,8.2,7.83,5.9,7.3,8.4,1,1,2,3,1,0,1,0,1,9,1,0
